Name,beta,gamma,n_shots,test_accuracy
stilted-sweep-873,5000,5000,2,0.779999995
misunderstood-sweep-473,10000,5000,2,0.720000005
sandy-sweep-425,10000,1000,2,0.660000002
honest-sweep-865,5000,75,2,0.64000001
comic-sweep-833,5000,10000,2,0.64000001
crimson-sweep-433,10000,10000,2,0.64000001
soft-sweep-857,5000,50,2,0.620000017
exalted-sweep-825,5000,1000,2,0.620000005
treasured-sweep-465,10000,75,2,0.6
floral-sweep-449,10000,25,2,0.580000013
fearless-sweep-369,1000,25,2,0.580000013
volcanic-sweep-321,1000,0.001,2,0.580000013
swept-sweep-393,1000,5000,2,0.580000007
tough-sweep-457,10000,50,2,0.580000001
robust-sweep-329,1000,10,2,0.560000014
soft-sweep-849,5000,25,2,0.560000008
feasible-sweep-817,5000,100,2,0.560000008
jumping-sweep-417,10000,100,2,0.560000008
fluent-sweep-809,5000,10,2,0.540000015
dutiful-sweep-841,5000,5,2,0.54000001
effortless-sweep-345,1000,1000,2,0.54000001
rural-sweep-441,10000,5,2,0.520000011
lilac-sweep-361,1000,5,2,0.520000011
revived-sweep-377,1000,50,2,0.520000008
robust-sweep-401,10000,0.001,2,0.520000005
likely-sweep-801,5000,0.001,2,0.500000006
expert-sweep-409,10000,10,2,0.5
vivid-sweep-337,1000,100,2,0.48000001
visionary-sweep-385,1000,75,2,0.460000008
trim-sweep-353,1000,10000,2,0.460000005
devout-sweep-673,50,10000,2,0.380000013
dandy-sweep-281,100,5,2,0.380000007
radiant-sweep-761,75,5,2,0.360000008
stellar-sweep-737,75,100,2,0.360000008
soft-sweep-713,50,5000,2,0.360000008
efficient-sweep-745,75,1000,2,0.360000005
daily-sweep-305,100,75,2,0.340000007
ancient-sweep-777,75,50,2,0.320000011
deep-sweep-785,75,75,2,0.320000008
zesty-sweep-705,50,75,2,0.320000008
proud-sweep-641,50,0.001,2,0.320000008
gentle-sweep-297,100,50,2,0.320000008
dulcet-sweep-265,100,1000,2,0.320000008
swift-sweep-241,100,0.001,2,0.320000008
brisk-sweep-689,50,25,2,0.320000005
fanciful-sweep-569,25,10,2,0.300000012
revived-sweep-313,100,5000,2,0.300000009
leafy-sweep-273,100,10000,2,0.300000009
easy-sweep-257,100,100,2,0.300000007
giddy-sweep-217,10,50,2,0.300000006
apricot-sweep-177,10,100,2,0.300000006
northern-sweep-793,75,5000,2,0.28000001
wild-sweep-753,75,10000,2,0.28000001
youthful-sweep-289,100,25,2,0.28000001
happy-sweep-601,25,5,2,0.280000009
genial-sweep-769,75,25,2,0.280000007
absurd-sweep-681,50,5,2,0.280000007
lemon-sweep-657,50,100,2,0.280000007
true-sweep-225,10,75,2,0.280000007
earthy-sweep-209,10,25,2,0.280000007
good-sweep-617,25,50,2,0.280000006
celestial-sweep-729,75,10,2,0.280000004
jolly-sweep-129,1,25,2,0.28
cosmic-sweep-81,1,0.001,2,0.28
lunar-sweep-561,25,0.001,2,0.26000001
dashing-sweep-665,50,1000,2,0.260000008
drawn-sweep-185,10,1000,2,0.260000008
noble-sweep-721,75,0.001,2,0.260000007
fancy-sweep-585,25,1000,2,0.260000007
youthful-sweep-577,25,100,2,0.260000007
helpful-sweep-169,10,10,2,0.260000007
solar-sweep-161,10,0.001,2,0.260000007
quiet-sweep-697,50,50,2,0.260000005
