"Name","State","Notes","User","Tags","Created","Runtime","Sweep","beta","dataset","gamma","load_trained_model","meta_batch_size","meta_lr","mnist_pixels_to_permute_test","mnist_pixels_to_permute_train","n_epochs","n_shots","n_test_epochs","n_ways","per_task_lr","reset_clf_on_meta","seed","test_adapt_steps","train_adapt_steps","train_sample_size","test_accuracy","test_loss"
"fluent-sweep-880","finished","-","liorf","","2022-05-08T02:58:58.000Z","153","e4hlnb4l","5000","mnist","5000","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.8240000486373902","0.5225677192211151"
"fiery-sweep-879","finished","-","liorf","","2022-05-08T02:56:29.000Z","143","e4hlnb4l","5000","mnist","5000","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.8519999861717225","0.493722665309906"
"grateful-sweep-878","finished","-","liorf","","2022-05-08T02:54:09.000Z","134","e4hlnb4l","5000","mnist","5000","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.8173333525657653","0.5857744723558426"
"proud-sweep-877","finished","-","liorf","","2022-05-08T02:51:51.000Z","131","e4hlnb4l","5000","mnist","5000","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.8699999809265136","0.4754895150661469"
"sweepy-sweep-876","finished","-","liorf","","2022-05-08T02:49:32.000Z","131","e4hlnb4l","5000","mnist","5000","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.8640000224113464","0.5186694204807282"
"blooming-sweep-875","finished","-","liorf","","2022-05-08T02:47:18.000Z","131","e4hlnb4l","5000","mnist","5000","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.8159999847412109","0.4860364496707916"
"firm-sweep-874","finished","-","liorf","","2022-05-08T02:45:04.000Z","130","e4hlnb4l","5000","mnist","5000","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.7759999871253968","0.610689640045166"
"stilted-sweep-873","finished","-","liorf","","2022-05-08T02:42:46.000Z","131","e4hlnb4l","5000","mnist","5000","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.7799999952316284","0.72414730489254"
"ancient-sweep-872","finished","-","liorf","","2022-05-08T02:40:10.000Z","149","e4hlnb4l","5000","mnist","75","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.8384000420570373","0.5559736549854278"
"valiant-sweep-871","finished","-","liorf","","2022-05-08T02:37:43.000Z","144","e4hlnb4l","5000","mnist","75","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.8409999728202819","0.5581160128116608"
"sandy-sweep-870","finished","-","liorf","","2022-05-08T02:35:25.000Z","133","e4hlnb4l","5000","mnist","75","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.8266666889190674","0.5720353543758392"
"smart-sweep-869","finished","-","liorf","","2022-05-08T02:33:11.000Z","130","e4hlnb4l","5000","mnist","75","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.8339999914169312","0.580865615606308"
"cosmic-sweep-868","finished","-","liorf","","2022-05-08T02:30:53.000Z","131","e4hlnb4l","5000","mnist","75","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.856000030040741","0.5540659904479981"
"dashing-sweep-867","finished","-","liorf","","2022-05-08T02:28:33.000Z","132","e4hlnb4l","5000","mnist","75","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.7959999918937684","0.5684220850467682"
"brisk-sweep-866","finished","-","liorf","","2022-05-08T02:26:15.000Z","135","e4hlnb4l","5000","mnist","75","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.8239999771118164","0.5693292558193207"
"honest-sweep-865","finished","-","liorf","","2022-05-08T02:23:58.000Z","131","e4hlnb4l","5000","mnist","75","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.6400000095367432","1.0794122993946076"
"fresh-sweep-864","finished","-","liorf","","2022-05-08T02:21:23.000Z","152","e4hlnb4l","5000","mnist","50","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.7848000288009643","0.6352532863616943"
"devout-sweep-863","finished","-","liorf","","2022-05-08T02:18:58.000Z","140","e4hlnb4l","5000","mnist","50","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.846999990940094","0.5367582082748413"
"rural-sweep-862","finished","-","liorf","","2022-05-08T02:16:38.000Z","135","e4hlnb4l","5000","mnist","50","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.8253333449363709","0.5839391410350799"
"neat-sweep-861","finished","-","liorf","","2022-05-08T02:14:20.000Z","133","e4hlnb4l","5000","mnist","50","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.843999981880188","0.5413521289825439"
"scarlet-sweep-860","finished","-","liorf","","2022-05-08T02:12:02.000Z","133","e4hlnb4l","5000","mnist","50","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.8106666922569274","0.5962605237960815"
"sunny-sweep-859","finished","-","liorf","","2022-05-08T02:09:48.000Z","131","e4hlnb4l","5000","mnist","50","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.7999999761581421","0.5792856305837631"
"autumn-sweep-858","finished","-","liorf","","2022-05-08T02:07:29.000Z","132","e4hlnb4l","5000","mnist","50","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.8239999651908875","0.5834406077861786"
"soft-sweep-857","finished","-","liorf","","2022-05-08T02:05:16.000Z","129","e4hlnb4l","5000","mnist","50","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.6200000166893005","1.0647695243358613"
"unique-sweep-856","finished","-","liorf","","2022-05-08T02:02:42.000Z","150","e4hlnb4l","5000","mnist","25","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.7648000299930573","0.6671393513679504"
"dutiful-sweep-855","finished","-","liorf","","2022-05-08T02:00:11.000Z","148","e4hlnb4l","5000","mnist","25","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.8369999885559082","0.5799694538116456"
"faithful-sweep-854","finished","-","liorf","","2022-05-08T01:57:51.000Z","134","e4hlnb4l","5000","mnist","25","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.809333348274231","0.6134553968906402"
"ethereal-sweep-853","finished","-","liorf","","2022-05-08T01:55:29.000Z","137","e4hlnb4l","5000","mnist","25","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.8639999747276306","0.5238790392875672"
"peach-sweep-852","finished","-","liorf","","2022-05-08T01:53:08.000Z","134","e4hlnb4l","5000","mnist","25","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.7786666750907898","0.6725833356380463"
"vague-sweep-851","finished","-","liorf","","2022-05-08T01:50:47.000Z","134","e4hlnb4l","5000","mnist","25","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.7639999985694885","0.6468386799097061"
"pretty-sweep-850","finished","-","liorf","","2022-05-08T01:48:24.000Z","136","e4hlnb4l","5000","mnist","25","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.7199999690055847","0.7278934121131897"
"soft-sweep-849","finished","-","liorf","","2022-05-08T01:46:05.000Z","132","e4hlnb4l","5000","mnist","25","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.5600000083446502","1.1995937824249268"
"absurd-sweep-848","finished","-","liorf","","2022-05-08T01:43:28.000Z","151","e4hlnb4l","5000","mnist","5","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.7696000337600708","0.7012120723724365"
"sparkling-sweep-847","finished","-","liorf","","2022-05-08T01:40:58.000Z","142","e4hlnb4l","5000","mnist","5","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.7969999670982361","0.6292030930519104"
